Aleksandrów Kujawski, KP
Aleksandrów Łódzki, ŁD
Alwernia, MA
Andrychów, MA
Annopol, LU
Augustów, PD
Babimost, LB
Baborów, OP
Baranów Sandomierski, PK
Barcin, KP
Barczewo, WN
Bardo, DŚ
Barlinek, ZP
Bartoszyce, WN
Barwice, ZP
Bełchatów, ŁD
Bełżyce, LU
Biała, OP
Biała Piska, WN
Biała Podlaska, LU
Biała Rawska, ŁD
Białobrzegi, MZ
Białogard, ZP
Biały Bór, ZP
Białystok, PD
Biecz, MA
Bielawa, DŚ
Bielsk Podlaski, PD
Bielsko-Biała, ŚL
Bierutów, DŚ
Bieruń, ŚL
Bieżuń, MZ
Biskupiec, WN
Bisztynek, WN
Biłgoraj, LU
Blachownia, ŚL
Bobolice, ZP
Bobowa, MA
Bochnia, MA
Bodzentyn, ŚK
Bogatynia, DŚ
Boguchwała, PK
Boguszów-Gorce, DŚ
Bojanowo, WP
Bolesławiec, DŚ
Bolków, DŚ
Borek Wielkopolski, WP
Borne Sulinowo, ZP
Braniewo, WN
Brańsk, PD
Brodnica, KP
Brok, MZ
Brusy, PM
Brwinów, MZ
Brzeg, OP
Brzeg Dolny, DŚ
Brzesko, MA
Brzeszcze, MA
Brzeziny, ŁD
Brześć Kujawski, KP
Brzostek, PK
Brzozów, PK
Buk, WP
Bukowno, MA
Busko-Zdrój, ŚK
Bychawa, LU
Byczyna, OP
Bydgoszcz, KP
Bystrzyca Kłodzka, DŚ
Bytom, ŚL
Bytom Odrzański, LB
Bytów, PM
Będzin, ŚL
Błaszki, ŁD
Błażowa, PK
Błonie, MZ
Cedynia, ZP
Chełm, LU
Chełmek, MA
Chełmno, KP
Chełmża, KP
Chmielnik, ŚK
Chocianów, DŚ
Chociwel, ZP
Chocz, WP
Chodecz, KP
Chodzież, WP
Chojna, ZP
Chojnice, PM
Chojnów, DŚ
Choroszcz, PD
Chorzele, MZ
Chorzów, ŚL
Choszczno, ZP
Chrzanów, MA
Chęciny, ŚK
Ciechanowiec, PD
Ciechanów, MZ
Ciechocinek, KP
Cieszanów, PK
Cieszyn, ŚL
